Leipzig-Nord;StW Leipzig;SN;04105;Leipzig;174,0;200,0;1996 (2010);HKW / GuD;Erdgas
Leuna;Raffinerie-Kraftwerks-Betriebs GmbH;ST;06237;Leuna;162,0;208,0;1997;IKW / GuD;Raffineriegas
Leuna GuD;InfraLeuna Energie GmbH / TOTAL Raffinerie GmbH;ST;06237;Leuna;178,0;n.b.;1994;HKW / GuD;Erdgas
Leverkusen G15/G22/X50;Currenta GmbH & Co. OHG;NW;51368;Leverkusen;137,0;711,0;1962 / 1991;IKW / SSA;Erdgas, Steinkohle
Lippendorf R;Lausitz Energie Kraftwerke AG (LEAG);SN;04564 ;Böhlen;933,6;230,0;2000;DKW;Braunkohle
Lippendorf S;EnBW Kraftwerke AG;SN;04564 ;Böhlen;933,6;230,0;2000;DKW;Braunkohle
Ludwigshafen-Mitte;BASF SE;RP;67056 ;Ludwigshafen;496,0;540,0;2005;IKW / GuD;Erdgas
Ludwigshafen-Nord;BASF SE;RP;67056 ;Ludwigshafen;127,0;280,0;1964 (2005);IKW / GuD;Erdgas
Ludwigshafen-Süd;BASF SE;RP;67056 ;Ludwigshafen;396,0;420,0;1997;IKW / GuD;Erdgas
Lünen Stummhafen;Trianel Kohlekraftwerk Lünen GmbH;NW;44536;Lünen;820,0;35,0;2013;HKW;Steinkohle
Mainz-Wiesbaden 2-1;Kraftwerke Mainz-Wiesbaden AG;RP;55120 ;Mainz;350,0;45,0;1977;GuD;Erdgas
Mainz-Wiesbaden 3-1;Kraftwerke Mainz-Wiesbaden AG;RP;55120 ;Mainz;417,0;115,0;2001;GuD;Erdgas
Mannheim 6;GKM;BW;68199;Mannheim;280,0;n.b.;1975 (2005);DKW;Steinkohle
Mannheim 7;GKM;BW;68199;Mannheim;475,0;500,0;1983;HKW;Steinkohle
Mannheim 8;GKM;BW;68199;Mannheim;480,0;500,0;1993;HKW;Steinkohle
Mannheim 9;GKM;BW;68199;Mannheim;911,0;500,0;2015;HKW;Steinkohle
Marbach III;EnBW Kraftwerke AG;BW;71672;Marbach;360,0;n.b.;1975;GuD;HEL
Markersbach A;Vattenfall Wasserkraft GmbH;SN;08352 ;Markersbach;175,0;;1979;PSW;Wasser
Markersbach B;Vattenfall Wasserkraft GmbH;SN;08352 ;Markersbach;175,0;;1980;PSW;Wasser
